West_Midlands_2019,"('city', 'West_Midlands')","('year', 2019)","('datetime', datetime.datetime(2024, 7, 26, 5, 14, 24, 902008))","('accuracy_balanced', 0.9896)","('accuracy', 0.9896)","('precision', 0.9935483870967742)","('recall', 0.9856)","('f1_score', 0.989558232931727)"
West_Midlands_2020,"('city', 'West_Midlands')","('year', 2020)","('datetime', datetime.datetime(2024, 7, 26, 5, 34, 8, 870873))","('accuracy_balanced', 0.9728)","('accuracy', 0.9728)","('precision', 0.983633387888707)","('recall', 0.9616)","('f1_score', 0.9724919093851133)"
West_Midlands_2021,"('city', 'West_Midlands')","('year', 2021)","('datetime', datetime.datetime(2024, 7, 26, 5, 50, 12, 979423))","('accuracy_balanced', 0.9863999999999999)","('accuracy', 0.9864)","('precision', 0.9919093851132686)","('recall', 0.9808)","('f1_score', 0.9863234111021721)"
West_Midlands_2022,"('city', 'West_Midlands')","('year', 2022)","('datetime', datetime.datetime(2024, 7, 26, 6, 6, 20, 241180))","('accuracy_balanced', 0.9752000000000001)","('accuracy', 0.9752)","('precision', 0.9805825242718447)","('recall', 0.9696)","('f1_score', 0.9750603378921963)"
West_Midlands_2023,"('city', 'West_Midlands')","('year', 2023)","('datetime', datetime.datetime(2024, 7, 26, 6, 49, 31, 779332))","('accuracy_balanced', 0.9688)","('accuracy', 0.9688)","('precision', 0.9834983498349835)","('recall', 0.9536)","('f1_score', 0.9683184402924452)"
Greater_London_2015,"('city', 'Greater_London')","('year', 2015)","('datetime', datetime.datetime(2024, 7, 26, 7, 33, 10, 142550))","('accuracy_balanced', 0.964)","('accuracy', 0.964)","('precision', 0.9588607594936709)","('recall', 0.9696)","('f1_score', 0.964200477326969)"
Greater_London_2016,"('city', 'Greater_London')","('year', 2016)","('datetime', datetime.datetime(2024, 7, 26, 8, 1, 56, 887463))","('accuracy_balanced', 0.964)","('accuracy', 0.964)","('precision', 0.9545454545454546)","('recall', 0.9744)","('f1_score', 0.9643705463182898)"
Greater_London_2017,"('city', 'Greater_London')","('year', 2017)","('datetime', datetime.datetime(2024, 7, 26, 8, 21, 31, 36540))","('accuracy_balanced', 0.968)","('accuracy', 0.968)","('precision', 0.9534883720930233)","('recall', 0.984)","('f1_score', 0.968503937007874)"
Greater_London_2018,"('city', 'Greater_London')","('year', 2018)","('datetime', datetime.datetime(2024, 7, 26, 9, 16, 53, 562410))","('accuracy_balanced', 0.9608)","('accuracy', 0.9608)","('precision', 0.95141065830721)","('recall', 0.9712)","('f1_score', 0.9612034837688044)"
Greater_London_2019,"('city', 'Greater_London')","('year', 2019)","('datetime', datetime.datetime(2024, 7, 26, 15, 16, 38, 63273))","('accuracy_balanced', 0.9703999999999999)","('accuracy', 0.9704)","('precision', 0.9637223974763407)","('recall', 0.9776)","('f1_score', 0.9706115965051628)"
Greater_London_2020,"('city', 'Greater_London')","('year', 2020)","('datetime', datetime.datetime(2024, 7, 26, 15, 25, 37, 427017))","('accuracy_balanced', 0.9728)","('accuracy', 0.9728)","('precision', 0.9595645412130638)","('recall', 0.9872)","('f1_score', 0.973186119873817)"
Greater_London_2021,"('city', 'Greater_London')","('year', 2021)","('datetime', datetime.datetime(2024, 7, 26, 15, 41, 3, 228794))","('accuracy_balanced', 0.9592)","('accuracy', 0.9592)","('precision', 0.9570063694267515)","('recall', 0.9616)","('f1_score', 0.9592976855546688)"
Greater_London_2022,"('city', 'Greater_London')","('year', 2022)","('datetime', datetime.datetime(2024, 7, 26, 23, 2, 32, 881392))","('accuracy_balanced', 0.9616)","('accuracy', 0.9616)","('precision', 0.964573268921095)","('recall', 0.9584)","('f1_score', 0.9614767255216693)"
Greater_London_2023,"('city', 'Greater_London')","('year', 2023)","('datetime', datetime.datetime(2024, 7, 26, 23, 12, 48, 793405))","('accuracy_balanced', 0.96)","('accuracy', 0.96)","('precision', 0.9644588045234249)","('recall', 0.9552)","('f1_score', 0.9598070739549839)"
